id,shapeName,year,op,inv,pop,ent,tc,ntl
19,Puñal,1,5184.55,89041295.9,56425.56641,33,8193.89,5.43757358
20,Juan Santiago,1,0.0,0.0,4118.075684,0,0.0,0.069216242
21,La Descubierta,1,0.0,0.0,9738.013672,0,0.0,0.127022127
22,Boca Chica,1,13178.26,400315434.7,162098.0313,36,26243.26,6.731810611
23,Tenares,1,0.0,0.0,28613.38477,0,0.0,0.617431733
24,Villa Montellano,1,0.0,0.0,20751.07617,0,0.0,0.657213282
25,Sosúa,1,0.0,0.0,48331.30078,0,0.0,0.741961238
26,Las Charcas,1,0.0,0.0,12043.09766,0,0.0,0.183882524
27,Castañuelas,1,0.0,0.0,15258.0957,0,0.0,0.439241782
28,Jarabacoa,1,0.0,0.0,57016.78906,0,0.0,0.280812887
29,Jima Abajo,1,0.0,0.0,39639.87891,0,0.0,0.649076863
30,Pimentel,1,0.0,0.0,17597.04492,0,0.0,0.319083681
31,Yamasá,1,0.0,0.0,52795.51563,0,0.0,0.133821963
32,Sabana Iglesia,1,0.0,0.0,15020.0791,0,0.0,0.733271232
33,Dajabón,1,0.0,0.0,44276.79688,0,0.0,0.345370916
34,Los Cacaos,1,0.0,0.0,10174.50293,0,0.0,0.031896403
35,El Peñón,1,0.0,0.0,3396.578613,0,0.0,0.132401008
36,Fantino,1,0.0,0.0,22413.88281,0,0.0,0.356054169
37,Guananico,1,0.0,0.0,6526.640137,0,0.0,0.217853998
38,Hato Mayor,1,1666.0,1201975.0,67319.1875,1,5000.0,0.27421158
39,Tamboril,1,4597.55,124598804.9,57582.30078,15,8774.33,3.740824859
40,Miches,1,0.0,0.0,18730.24609,0,0.0,0.094010919
41,Monte Plata,1,0.0,0.0,62746.29688,0,0.0,0.148626715
42,Oviedo,1,0.0,0.0,7748.898926,0,0.0,0.05207746
43,El Llano,1,0.0,0.0,8728.630859,0,0.0,0.11817981
44,Guaymate,1,0.0,0.0,16090.50977,0,0.0,0.111475544
45,Los Hidalgos,1,0.0,0.0,12205.14746,0,0.0,0.143758674
46,Maimón,1,0.0,0.0,20800.63672,0,0.0,1.716523228
47,Mella,1,0.0,0.0,4454.666016,0,0.0,0.055482036
48,Monción,1,0.0,0.0,11582.83984,0,0.0,0.316392112
49,Monte Cristi,1,0.0,0.0,21935.05273,0,0.0,0.180472438
50,Neiba,1,0.0,0.0,40844.24219,0,0.0,0.390113854
51,Sabana Grande De Boyá,1,0.0,0.0,33479.0,0,0.0,0.066783967
52,Las Yayas De Viajama,1,0.0,0.0,20417.08398,0,0.0,0.107783969
53,Licey Al Medio,1,1810.77,4030000.0,27033.80469,3,4000.0,6.104198867
54,Las Guáranas,1,0.0,0.0,15909.11133,0,0.0,0.529884634
55,Las Salinas,1,0.0,0.0,4042.67041,0,0.0,0.095722617
