id,province,year,ini_edu_dropout,bas_edu_dropout,med_edu_dropout,l_inv,ent,crime,op_salary,tec_salary
14,Puerto Plata,5,2.4,1.9,5.8,16.370683248415283,9,50,2260.84,3785.0
15,San José de Ocoa,5,2.15,2.7,3.2,0.0,0,10,0.0,0.0
16,San Juan,5,2.13,3.1,5.2,0.0,0,39,0.0,0.0
17,Santiago Rodríguez,5,1.32,1.1,5.1,0.0,0,6,0.0,0.0
18,Distrito Nacional,5,1.46,1.6,5.4,0.0,0,182,0.0,0.0
19,El Seibo,5,2.08,4.7,5.1,13.122363377404328,2,19,1937.85,2875.0
20,Espaillat,5,0.77,1.8,5.2,16.281145860801697,8,52,2597.49,4287.64
21,Hermanas Mirabal,5,2.44,1.6,6.4,0.0,0,19,0.0,0.0
22,Independencia,5,1.17,3.4,5.1,0.0,0,19,0.0,0.0
23,Baoruco,5,1.64,5.0,7.5,0.0,0,23,0.0,0.0
24,Azua,5,1.04,2.9,5.4,0.0,0,25,0.0,0.0
25,Dajabón,5,0.82,2.2,7.2,0.0,0,11,0.0,0.0
26,La Altagracia,5,2.67,3.9,7.0,0.0,0,67,0.0,0.0
27,María Trinidad Sánchez,5,1.2,1.3,5.2,0.0,0,23,0.0,0.0
28,Santo Domingo,5,1.73,1.9,5.3,20.683102113010193,104,433,37035.09,68626.53
29,Monte Plata,5,1.71,2.9,6.0,0.0,0,29,0.0,0.0
30,San Cristóbal,5,1.95,2.5,6.5,19.847713911972516,60,117,10033.619999999997,19472.48
31,San Pedro de Macorís,5,1.58,3.6,7.0,19.524218560268395,50,59,4871.129999999999,10329.4
0,Santiago,6,1.29,1.7,5.1,20.648427750354767,192,207,35022.43,72326.47999999998
1,Duarte,6,1.84,1.8,7.6,16.707241092860272,3,75,4819.99,9191.48
2,Elías Piña,6,3.33,7.2,6.6,0.0,0,14,0.0,0.0
3,Hato Mayor,6,2.22,2.6,5.4,14.028564176681446,1,13,1916.0,5000.0
4,La Vega,6,0.55,1.7,5.0,17.697156190703485,17,67,2221.09,4671.84
5,Sánchez Ramírez,6,1.94,1.5,4.7,0.0,0,23,0.0,0.0
6,Samaná,6,0.77,2.3,5.8,0.0,0,21,0.0,0.0
7,Valverde,6,2.38,2.7,5.2,16.800982560498607,6,23,2302.99,5021.32
8,Barahona,6,1.3,4.1,6.6,17.034386382832476,2,40,3934.12,6629.0
9,La Romana,6,2.83,2.6,5.9,19.19270078140795,10,49,4986.18,7921.2
10,Monseñor Nouel,6,1.05,1.4,2.6,19.20916034134212,5,44,10404.18,17125.56
11,Monte Cristi,6,2.02,2.8,6.3,0.0,0,16,0.0,0.0
12,Pedernales,6,3.47,6.2,3.3,16.300417207752275,1,5,1743.6,3145.0
13,Peravia,6,1.15,2.7,5.6,15.840616165329273,7,33,2461.5,5286.29
14,Puerto Plata,6,2.38,1.9,5.4,16.435464050044335,10,34,2371.13,4466.67
15,San José de Ocoa,6,2.4,2.7,3.0,0.0,0,11,0.0,0.0
16,San Juan,6,2.41,2.7,4.5,0.0,0,42,0.0,0.0
17,Santiago Rodríguez,6,0.44,1.3,4.5,0.0,0,5,0.0,0.0
18,Distrito Nacional,6,2.07,1.8,4.4,0.0,0,208,0.0,0.0
19,El Seibo,6,1.76,3.8,3.6,13.527828485512494,2,15,1919.0,3700.0
20,Espaillat,6,0.67,1.8,6.1,16.677422588609087,9,36,2540.5,4488.96
21,Hermanas Mirabal,6,0.93,1.7,4.9,0.0,0,13,0.0,0.0
22,Independencia,6,2.9,3.3,3.9,0.0,0,5,0.0,0.0
23,Baoruco,6,1.85,4.7,5.3,0.0,0,18,0.0,0.0
24,Azua,6,0.89,2.9,5.7,0.0,0,26,0.0,0.0
25,Dajabón,6,0.35,2.2,5.0,0.0,0,16,0.0,0.0
26,La Altagracia,6,3.27,3.9,5.4,0.0,0,72,0.0,0.0
27,María Trinidad Sánchez,6,0.24,0.8,4.1,0.0,0,14,0.0,0.0
28,Santo Domingo,6,1.72,2.0,4.4,20.706963439237153,105,370,42220.27,79247.57
29,Monte Plata,6,1.75,2.8,5.5,0.0,0,28,0.0,0.0
30,San Cristóbal,6,1.55,2.4,4.9,20.04170018363986,60,95,12658.72,22158.72
31,San Pedro de Macorís,6,0.79,3.0,6.6,19.579447183939884,47,42,5343.97,10911.939999999999
